100 4
0, 46.50, 10.95, -29.16, -45.48
1, 12.93, 0.10, 34.55, 25.28
2, 35.41, -40.65, 2.20, 44.49
3, 35.02, 24.03, 30.24, -11.27
4, 17.48, 46.82, 18.16, -16.73
5, 22.73, -26.79, 20.35, 20.98
6, 23.14, 32.33, -23.09, -41.33
7, 8.68, -32.77, -16.30, 5.18
8, 28.18, 4.54, 9.70, -8.89
9, -45.36, -5.75, -33.61, 40.06
10, 3.60, 18.59, 34.54, -11.38
11, -7.38, 14.78, 27.36, -39.91
12, 11.60, -4.48, -6.63, -15.67
13, 18.73, -36.28, -44.69, -8.13
14, 46.05, -17.79, 0.54, 4.73
15, -0.55, 34.24, -40.09, -22.37
16, -11.21, 19.61, 18.74, -6.57
17, -36.14, 35.13, -16.52, 17.46
18, 3.72, -31.97, -43.92, 46.34
19, 32.81, 33.44, -43.57, -5.59
20, -21.04, -0.20, 28.74, 47.68
21, 13.52, 34.05, -10.45, 9.57
22, -33.74, 40.09, -35.70, 15.71
23, 24.33, -25.79, 43.34, -36.88
24, 43.83, 12.08, 6.55, -42.31
25, -2.79, 40.03, 25.15, -49.07
26, -41.94, 31.23, 47.26, 40.87
27, 14.67, -46.31, -14.71, 43.63
28, 3.49, -35.97, 41.31, -32.99
29, 48.08, -19.14, 26.58, -35.66
30, -29.05, 40.88, 30.04, 45.28
31, -34.90, 23.38, -41.60, -41.08
32, -14.54, 14.95, -33.39, 32.66
33, 4.98, 41.77, 33.59, 13.05
34, 23.00, 30.85, 3.92, -12.33
35, 34.54, 39.21, -18.70, -11.97
36, -46.76, -27.40, 5.03, -48.69
37, 3.46, -18.39, -34.35, 24.41
38, -27.50, 45.69, 19.69, -12.41
39, 19.07, 28.09, -3.49, -45.47
40, -6.96, 13.13, 37.19, 48.03
41, 4.89, 20.78, 11.07, -22.11
42, 1.63, -35.01, 15.56, -13.83
43, -45.80, 46.86, 24.20, -42.56
44, -30.54, -20.77, -41.25, 22.93
45, 10.85, -25.60, -2.66, 33.34
46, -29.90, -32.97, -29.07, 39.17
47, 45.12, 17.45, 43.70, -11.83
48, -19.43, 30.89, -13.81, 35.47
49, 1.67, 47.27, -36.64, -46.70
50, -37.74, 28.93, -10.53, -33.54
51, 25.79, -36.33, -26.11, 45.25
52, -7.10, -17.36, 18.18, -46.25
53, 7.04, -34.49, 37.09, 27.14
54, -17.46, -41.98, 16.31, -22.34
55, 25.46, 10.01, 15.83, -43.96
56, -9.10, -47.98, 41.51, 42.57
57, 49.29, -45.13, 45.87, -38.46
58, 33.80, -14.66, -22.00, 9.58
59, -0.99, 1.89, 4.83, 41.91
60, 34.53, -26.99, 45.66, -8.43
61, -11.48, 32.75, -31.29, 21.07
62, 40.76, 35.02, 48.73, 16.23
63, -4.97, 14.56, 22.26, 35.92
64, 16.58, 13.77, 28.49, 15.86
65, 18.64, 24.36, 27.40, 2.44
66, -40.29, -44.60, -37.98, 8.72
67, 7.29, 16.86, 0.63, -8.18
68, 39.87, -3.71, 33.39, -21.61
69, -20.96, -47.89, 49.46, -30.20
70, 37.13, 48.19, 36.03, -17.84
71, 12.74, 8.29, -31.92, -20.68
72, -27.94, 46.57, 45.18, 40.70
73, 20.94, 22.58, -6.86, 30.64
74, 27.98, 5.16, -10.64, -14.73
75, -27.98, 40.00, 27.09, -38.12
76, -13.71, 10.49, -9.72, 15.33
77, 12.59, -10.27, 35.13, -0.28
78, -12.08, 21.15, 31.88, -49.34
79, -20.56, 49.96, -20.02, 1.50
80, 46.53, -24.85, -7.79, 17.47
81, 47.73, 35.35, -1.89, 25.72
82, -9.49, 37.47, -39.01, 12.52
83, 27.47, 38.08, 24.41, -36.24
84, -1.43, -35.32, 29.08, -38.84
85, 4.42, 14.21, 10.89, 42.33
86, -14.64, -7.23, 42.99, 14.81
87, -7.27, -27.03, -33.69, -10.74
88, -1.88, 8.52, -43.27, -4.14
89, -6.14, 4.84, -28.43, 34.37
90, -7.69, -17.44, -3.11, -30.22
91, -29.36, -28.70, -16.46, 19.21
92, -14.02, -37.38, 30.38, 40.40
93, 26.83, -8.73, 32.73, -37.80
94, 34.04, 25.73, 27.00, -23.24
95, 48.70, 43.31, 16.03, -3.18
96, 1.83, 22.76, 42.68, 45.69
97, -22.40, -35.75, 30.06, 19.91
98, -3.19, -23.05, 39.69, 17.45
99, -1.74, -26.77, -13.33, 34.24
